Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,Region,msmt_temp_C,msmt_RM_percent,,,,
BPPu,M,adult,708,70.8,236.2,7.036666667,NA,344.5,28,6/1/21,dorsal light,23.7,21.5,,,,
BPW,M,adult,1007,100.7,849.1,9.453333333,NA,432,18,5/23/21,dorsal light,16.8,25.9,,,,
BRB,M,adult,806,80.6,355.8,7.806666667,NA,403,27,5/28/21,dorsal light,23.8,24.4,,,,
BRGG,M,adult,884,88.4,NA,7.863333333,NA,406.5,18,5/26/21,dorsal light,15,40.6,,,,
BWB,M,adult,916,91.6,502.9,8.963333333,NA,378.6666667,26,5/29/21,dorsal light,23.9,25.8,,,,
GBG,M,adult,963,96.3,680,8.33,NA,409.6666667,24,5/30/21,dorsal light,22,34,,,,
GBY,M,adult,966,96.6,673.1,6.533333333,NA,387,16,5/26/21,dorsal light,14.7,41.5,,,,
GRY,M,adult,709,70.9,275.5,2.985,NA,520,18,5/23/21,dorsal light,20,23.9,,,,
GYY,M,adult,1102,110.2,968.4,5.886666667,NA,406,19,5/26/21,dorsal light,16.9,38.2,,,,
O1,F,adult,853,85.3,344.7,8.623333333,N,417.5,25,6/1/21,dorsal light,23.6,24.7,,,,
O2,F,adult,803,80.3,346.6,6.63,Y,405.3333333,24.5,6/1/21,dorsal light,22.9,25.7,,,,
PBA,F,adult,935,93.5,709.7,3.616666667,Y,420.3333333,18,5/23/21,dorsal light,18.5,25.8,,,,
PGA,M,adult,515,51.5,80.6,8.483333333,NA,436.5,18,5/23/21,dorsal light,19.1,26,,,,
PiPuA,F,adult,773,77.3,444.8,6.28,Y,387.5,18,5/23/21,dorsal light,19,25,,,,
PPA,F,adult,910,91,489.9,20.08333333,Y,409.5,18,5/23/21,dorsal light,18.8,28.1,,,,
PPB,F,adult,NA,NA,NA,6.606666667,N ,414,23.5,5/31/21,dorsal light,21.7,26.6,,,,
PPPu,F,adult,721,72.1,196.8,5.34,N,485,24,5/31/21,dorsal light,21.6,26.2,,,,
PPuR,F,adult,884,88.4,494.4,5.976666667,Y,405,26,5/31/21,dorsal light,22.5,26.5,,,,
PPuW,F,adult,841,84.1,508.1,7,Y,417.6666667,23,6/1/21,dorsal light,20.7,31.2,,,,
